42,2,4816P-1-103LFCT-ND,4816P-1-103LF,RES ARRAY 8 RES 10K OHM 16SOIC,DAH201,2,0,1.32,2.64
43,2,4-1825059-1-ND,4-1825059-1,SWITCH SLIDE DIP SPST 25MA 24V,DAH201,2,0,1.75,3.5
44,2,296-8389-5-ND,SN74HCT139D,IC DECODER/DEMUX 1X2:4 16SOIC,DAH201,2,0,1.29,2.58
45,2,296-17318-5-ND,CD74HC04M,IC INVERTER 6CH 1-INP 14SOIC,DAH201,2,0,1.05,2.1
46,2,2223-DS04-254-2-06BK-SMT-CT-ND,DS04-254-2-06BK-SMT-TR,"DIP SWITCH, SPST, 2.54 PITCH, FL",DAH201,2,0,1.14,2.28
47,10,2019-RK73B2ATTD273JCT-ND,RK73B2ATTD273J,RES 27K OHM 5% 1/4W 0805,DAH201,10,0,0.03,0.3
48,2,AE10388-ND,A-2004-2-4-LP/S-R,CONN MOD JACK 8P8C R/A SHIELDED,DAH201,2,0,1.07,2.14
49,2,952-1737-1-ND,S8421-45R,BATT HOLDER COIN 20MM 1 CELL SMD,DAH201,2,0,1.58,3.16
50,2,732-2094-ND,61201021621,CONN HEADER VERT 10POS 2.54MM,DAH201,2,0,0.48,0.96
51,10,P20612CT-ND,ERJ-PB6B1501V,RES SMD 1.5K OHM 0.1% 1/4W 0805,DAH201,10,0,0.338,3.38
52,10,296-14714-1-ND,SN74ALS138ADR,IC DECODER/DEMUX 1X3:8 16SOIC,DAH201,10,0,0.876,8.76
53,5,296-GD75232N-ND,GD75232N,IC TRANSCEIVER FULL 3/5 20DIP,DAH201,5,0,0.64,3.2
54,1,AT28C64B-15PU-ND,AT28C64B-15PU,IC EEPROM 64KBIT PARALLEL 28DIP,DAH201,1,0,5.55,5.55
55,2,X939-ND,ECS-100AX-018,XTAL OSC XO 1.8432MHZ TTL TH,DAH201,2,0,3.15,6.3
56,2,4310R-1-103LF-ND,4310R-101-103LF,RES ARRAY 9 RES 10K OHM 10SIP,DAH201,2,0,2.09,4.18
57,2,S9174-ND,SBH11-PBPC-D17-ST-BK,CONN HEADER VERT 34POS 2.54MM,DAH201,2,0,0.68,1.36
58,2,3M6811B1-ND,8468-11B1-RK-TP,CONN SOCKET PLCC 68POS TIN,DAH201,2,0,2.94,5.88
59,2,3M4411B1-ND,8444-11B1-RK-TP,CONN SOCKET PLCC 44POS TIN,DAH201,2,0,2.36,4.72
60,3,3M5469-ND,4828-6000-CP,CONN IC DIP SOCKET 28POS TIN,DAH201,3,0,1.09,3.27
61,2,3M5463-ND,4816-3000-CP,CONN IC DIP SOCKET 16POS TIN,DAH201,2,0,0.71,1.42
62,2,XC1009CT-ND,ECS-240-12-20A-TR,CRYSTAL 24.0000MHZ 12PF SMD,DAH201,2,0,2.39,4.78
63,10,1276-1169-1-ND,CL21B102KCANNNC,CAP CER 1000PF 100V X7R 0805,DAH201,10,0,0.044,0.44
64,10,311-4320-1-ND,CC0805KRX7R8BB473,CAP CER 0.047UF 25V X7R 0805,DAH201,10,0,0.093,0.93
65,20,2019-RK73B2ATTD822JCT-ND,RK73B2ATTD822J,RES 8.2K OHM 5% 1/4W 0805,DAH201,20,0,0.03,0.6
66,2,3M5467-ND,4824-6000-CP,CONN IC DIP SOCKET 24POS TIN,DAH201,2,0,1,2
67,20,1276-6454-1-ND,CL21A106KAYNNNG,CAP CER 10UF 25V X5R 0805,DAH201,20,0,0.128,2.56
68,2,P20512CT-ND,ERJ-PB6B2000V,RES SMD 200 OHM 0.1% 1/4W 0805,DAH201,2,0,0.4,0.8
69,1,3M5470-ND,4832-6000-CP,CONN IC DIP SOCKET 32POS TIN,DAH201,1,0,1.09,1.09
70,100,2019-RK73B2ATTD102JCT-ND,RK73B2ATTD102J,RES 1K OHM 5% 1/4W 0805,DAH201,100,0,0.0124,1.24
71,100,2019-RK73B2ATTD472JCT-ND,RK73B2ATTD472J,RES 4.7K OHM 5% 1/4W 0805,DAH201,100,0,0.0124,1.24
72,100,2019-RK73B2ATTD330JCT-ND,RK73B2ATTD330J,RES 33 OHM 5% 1/4W 0805,DAH201,100,0,0.0124,1.24
73,100,RNCP0805FTD150RCT-ND,RNCP0805FTD150R,RES 150 OHM 1% 1/4W 0805,DAH201,100,0,0.0297,2.97
74,100,2019-RK73H2ATTD2201FCT-ND,RK73H2ATTD2201F,RES 2.2K OHM 1% 1/4W 0805,DAH201,100,0,0.0153,1.53
75,100,2019-RK73H2ATTD1000FCT-ND,RK73H2ATTD1000F,RES 100 OHM 1% 1/4W 0805,DAH201,100,0,0.0153,1.53
76,50,445-5909-1-ND,CGA4J2X8R1H104K125AA,CAP CER 0.1UF 50V X8R 0805,DAH201,50,0,0.0728,3.64
